Data,Time,Date
"AA 55 C0 80 00 0B 04 72 23 72 08 60 C0 ",12:41:25,8/7/2019
No bytes available,12:41:25,8/7/2019
"F8 AA 55 C0 80 00 0B 04 66 23 66 08 78 C0 ",12:46:5,8/7/2019
No bytes available,12:46:5,8/7/2019
"80 00 0B 01 03 70 C0 F8 AA 55 C0 80 00 0B 04 A6 23 A6 08 F7 C0 ",12:47:46,8/7/2019
No bytes available,12:47:46,8/7/2019
"80 AA 55 C0 80 00 0B 04 72 23 72 08 60 C0 ",12:48:40,8/7/2019
No bytes available,12:48:40,8/7/2019
"80 00 0B 01 03 70 C0 00 AA 55 C0 80 00 0B 04 72 23 72 65 03 C0 ",12:50:25,8/7/2019
No bytes available,12:50:25,8/7/2019
"F8 AA 55 C0 80 00 0B 04 72 23 72 32 36 C0 ",12:52:13,8/7/2019
No bytes available,12:52:13,8/7/2019
"F0 AA 55 C0 80 00 0B 04 72 23 72 19 4F C0 ",12:54:3,8/7/2019
No bytes available,12:54:3,8/7/2019
"80 AA 55 C0 80 00 0B 04 72 23 72 0A 5E C0 ",12:55:27,8/7/2019
No bytes available,12:55:27,8/7/2019
